tag,status,source,notes
#미국인모델,promoted_to_v2,older_list,Inserted into v2 on 2026-04-23
#외국인남자,promoted_to_v2,older_list,Inserted into v2 on 2026-04-23
#외국남자,promoted_to_v2,older_list,Inserted into v2 on 2026-04-23
#남자외국모델,promoted_to_v2,older_list,Inserted into v2 on 2026-04-23
#중년외국인모델,promoted_to_v2,older_list,Inserted into v2 on 2026-04-23
#외국남자모델,promoted_to_v2,older_list,Inserted into v2 on 2026-04-23
#남자외국인모델,promoted_to_v2,older_list,Inserted into v2 on 2026-04-23
#외국인할아버지,promoted_to_v2,older_list,Inserted into v2 on 2026-04-23
#외국인광고,promoted_to_v2,older_list,Inserted into v2 on 2026-04-23
#미국남자,promoted_to_v2,older_list,Inserted into v2 on 2026-04-23
#드라마,promoted_to_v2,older_list,Inserted into v2 on 2026-04-23
#시니어배우,promoted_to_v2,older_list,Inserted into v2 on 2026-04-23
#할아버지모델,promoted_to_v2,older_list,Inserted into v2 on 2026-04-23
#외국인피팅모델,promoted_to_v2,older_list,Inserted into v2 on 2026-04-23
#외국인중년남자,promoted_to_v2,older_list,Inserted into v2 on 2026-04-23
#시니어외국인모델,promoted_to_v2,older_list,Inserted into v2 on 2026-04-23
#실버외국인,promoted_to_v2,older_list,Inserted into v2 on 2026-04-23
