rank,zero_based_rank,tag,base_score,cooldown_min,cooldown_max,selected_count
1,0,#외국인남자모델,0.948,10,26,116
2,1,#외국인중년모델,0.943,10,26,126
3,2,#외국인남자배우,0.937,10,26,124
4,3,#외국인시니어모델,0.930,10,27,116
5,4,#외국인모델,0.924,11,27,108
6,5,#외국인캐스팅,0.916,11,28,99
7,6,#短剧,0.908,11,29,102
8,7,#외국인중년배우,0.899,11,29,103
9,8,#외국인배우,0.890,11,30,101
10,9,#광고모델,0.879,12,31,94
11,10,#중년모델,0.868,12,32,87
12,11,#시니어모델,0.856,12,33,86
13,12,#중년외국인모델,0.843,13,34,81
14,13,#외국인모델섭외,0.829,13,35,76
15,14,#외국인시니어모델섭외,0.814,13,36,72
16,15,#微短剧,0.798,14,37,66
17,16,#외국인모델에이전시,0.781,14,38,66
18,17,#촬영문의,0.764,15,40,59
19,18,#모델프로필,0.745,15,41,51
20,19,#배우프로필,0.725,16,43,48
21,20,#외국인연기자,0.704,16,44,53
22,21,#시니어배우,0.683,17,46,47
23,22,#modelinkorea,0.660,17,48,38
24,23,#actorinkorea,0.637,18,49,39
25,24,#竖屏短剧,0.614,18,51,33
26,25,#외국모델,0.589,19,53,35
27,26,#미국인모델,0.564,20,55,24
28,27,#남자모델,0.539,20,57,25
29,28,#남자배우,0.514,21,59,21
30,29,#외국남자모델,0.489,21,61,16
31,30,#남자외국인모델,0.463,22,63,13
32,31,#패션모델,0.438,23,65,9
33,32,#룩북모델,0.413,23,66,13
34,33,#外籍演员,0.389,24,66,12
35,34,#외국인패션모델,0.365,24,66,10
36,35,#외국인피팅모델,0.342,25,66,11
37,36,#룩북촬영,0.320,26,66,16
38,37,#광고촬영,0.298,26,66,11
39,38,#모델촬영,0.277,27,66,12
40,39,#외국인모델촬영,0.257,27,66,8
41,40,#외국인광고,0.238,28,66,13
42,41,#foreignmodel,0.220,28,66,8
43,42,#外国演员,0.203,28,66,13
44,43,#seniormodel,0.187,29,66,9
45,44,#Seoulmodel,0.172,29,66,8
46,45,#프리랜서모델,0.158,30,66,10
47,46,#freelancemodel,0.145,30,66,14
48,47,#외국인실버모델,0.133,30,66,15
49,48,#시니어외국인모델,0.122,30,66,12
50,49,#실버모델,0.111,31,66,8
51,50,#silvermodel,0.102,31,66,7
52,51,#外国资深演员,0.093,31,66,12
53,52,#중년배우,0.085,31,66,7
54,53,#중년연기자,0.077,32,66,12
55,54,#드라마,0.070,32,66,11
56,55,#외국인남자,0.064,32,66,9
57,56,#외국남자,0.058,32,66,12
58,57,#남자외국모델,0.053,32,66,12
59,58,#미국남자,0.048,32,66,14
60,59,#竖屏剧,0.043,32,66,11
61,60,#외국인중년남자,0.039,33,66,12
62,61,#외국인할아버지,0.036,33,66,9
63,62,#할아버지모델,0.032,33,66,7
64,63,#실버외국인,0.029,33,66,10
65,64,#시니어모델섭외,0.027,33,66,9
66,65,#서울모델,0.024,33,66,9
